,train_loss,validate_loss,validate_accuracy
0,0.3705578140166507,2.8620798609474765,10.78
1,0.2023766481125427,0.21780494593111444,93.79
2,0.15397070304588728,0.16345276125848848,95.55
3,0.1251127017506859,0.13216224645746752,96.34
4,0.10573299761274185,0.12321301118401791,96.31
5,0.09154667011439714,0.11256470264788095,96.72
6,0.08086228572663655,0.10951634715721223,96.88
7,0.07289645231523623,0.10302026898055007,96.94
8,0.06556726246778959,0.09717957270820338,97.07
9,0.05929347311351638,0.09985722554575045,96.99
10,0.054354411110270624,0.09816657471378022,97.17
11,0.049379339520640844,0.100236275554055,97.25
12,0.04516683274539179,0.09675418361790412,97.01
13,0.04206071035320704,0.09609394061835064,97.22
14,0.03850716163884988,0.09112330614929356,97.42
15,0.034939969101788246,0.09224613029038958,97.53
16,0.03213129932782407,0.11315804128217159,96.91
17,0.02985411580677392,0.09895238640955258,97.24
18,0.02806623893343049,0.09954866040345109,97.29
19,0.024923992931245108,0.09712624028995451,97.38
20,0.022953090435802015,0.10119600969372573,97.25
21,0.021199817134840395,0.0966251066898394,97.45
22,0.019915498213226766,0.09764353966191762,97.53
23,0.017611846338467293,0.09883911062899238,97.37
24,0.016304697084821535,0.10189420748354841,97.28
25,0.015058226106773698,0.10426134355233511,97.26
26,0.014030333229140454,0.09937713071447889,97.46
27,0.012840517937012139,0.10566836543057972,97.38
28,0.01158308343145824,0.10321141009847407,97.47
29,0.010598552579571135,0.1022582561675963,97.4
30,0.009686696271033508,0.10167236243714084,97.48
31,0.008712194614570488,0.10140497571415448,97.47
32,0.008221378795942902,0.10198204103983077,97.48
33,0.007655051500022845,0.10275698953810024,97.46
34,0.0072827285902484565,0.10636387526620099,97.43
35,0.00652993631053061,0.10406615262359185,97.39
36,0.006104789957565131,0.1051891336796708,97.5
37,0.0056096156327824455,0.10595969596241767,97.47
38,0.005029534408919494,0.106527744923417,97.46
39,0.004946725459777866,0.10697691697969819,97.45
40,0.004662963260591139,0.10970375237130374,97.58
41,0.004366376721022667,0.10946538063761484,97.44
42,0.004165728949176915,0.1106791327471708,97.42
43,0.003899143103202511,0.11090058111987991,97.48
44,0.0037909274181867204,0.1117176733812463,97.42
45,0.0035102499740415527,0.11286967322916584,97.44
46,0.0033742279651167197,0.11198063127622704,97.52
47,0.0031968427577628096,0.11263210480715627,97.46
48,0.0030612083667275816,0.11186338496801361,97.51
49,0.0029605639486183265,0.1140680314177642,97.43
50,0.0028341235689098854,0.11396131696138709,97.51
51,0.00274581824437508,0.1166204426446874,97.45
52,0.002621159999797166,0.11431736530671499,97.47
53,0.0025054324890127692,0.1157733720222162,97.5
54,0.0024179400095121592,0.11591870515306102,97.43
55,0.0023433018781875065,0.11726271232485055,97.46
56,0.0022502522370386863,0.11596810989014703,97.54
57,0.00219532193931172,0.11733780712132857,97.51
58,0.0021319339886515525,0.11722506159959148,97.47
59,0.002054196144576939,0.1183846409893059,97.45
60,0.001987978480805348,0.11722809990168284,97.46
61,0.0019278700677556773,0.11989039797126827,97.39
62,0.0018925719183942465,0.12001732709545142,97.45
63,0.0018243887101648548,0.11990245545106014,97.49
64,0.0017845047954823598,0.11977090745123346,97.43
65,0.0017229864640766778,0.12108107599868471,97.43
66,0.0016907048553562575,0.12033543038313721,97.48
67,0.0016296569181172202,0.12136719853014988,97.44
68,0.0015955014927544451,0.12215051896126558,97.49
69,0.0015627418455443226,0.12113508836178252,97.51
70,0.0015269877007109832,0.12195944016241299,97.48
71,0.0015037217517014762,0.12272123840493912,97.45
72,0.0014469790726639156,0.12332956701432957,97.48
73,0.0014323920143026936,0.12335017778424671,97.46
74,0.0014005918803647566,0.12334411361158645,97.42
75,0.0013597524920888199,0.12411757879269747,97.41
76,0.0013349996837036015,0.12421514181615535,97.48
77,0.001306118900681745,0.12457397875768113,97.46
78,0.001274679575914335,0.12396457091843648,97.5
79,0.0012495419014726065,0.12533211821334758,97.55
80,0.001224986289103212,0.1256894927430002,97.46
81,0.0012044869237306578,0.12582816983579936,97.5
82,0.0011786942922056532,0.1275070785734233,97.52
83,0.001160323544286487,0.12689610189061795,97.55
84,0.0011352652922746536,0.12734076970339034,97.48
85,0.001116591037496307,0.12737995629680793,97.48
86,0.001099678750761658,0.12744797705307986,97.47
87,0.0010808157824872132,0.12829681080243543,97.5
88,0.0010537570120215808,0.12880002016177627,97.48
89,0.0010408107412213069,0.1288958233930054,97.43
90,0.0010228803973714002,0.12875020003283769,97.5
91,0.0010042456560110109,0.12886025104658927,97.47
92,0.0009901778121335703,0.12866077476734927,97.48
93,0.0009819109788713428,0.12902472500253723,97.47
94,0.0009553947578546086,0.12984232233601917,97.49
95,0.000940454981950646,0.13051846904014958,97.46
96,0.0009277807419357668,0.13132919149663624,97.48
97,0.0009101006733647842,0.1306316617648265,97.48
98,0.0009005707147657247,0.13118299714182824,97.51
99,0.0008845848610383367,0.13158335526476647,97.43
