,train_loss,validate_loss,validate_accuracy
0,0.4227605298716658,3.0284467662037264,9.61
1,0.31557687133579254,0.29299399364084994,92.29
2,0.3025429415753717,0.2700902480415849,92.94
3,0.295870002349299,0.27438860781060853,93.19
4,0.2908448008630729,0.27095394801823963,93.54
5,0.2873684708871538,0.25943508558124323,93.94
6,0.2853094226832127,0.25920729538737924,93.63
7,0.28310391986262107,0.2525596431982483,93.86
8,0.2823938903190597,0.2620430447717953,93.58
9,0.28038982790558664,0.258415324171749,93.78
10,0.27967961518534895,0.25442795153310516,94.03
11,0.2794299909455028,0.2591990085995739,93.94
12,0.2786298051580183,0.275155039840246,93.18
13,0.27713235843421136,0.25182258582766054,94.0
14,0.2774566702992833,0.2555874184317196,93.67
15,0.2767832277900009,0.26018340236054716,93.76
16,0.27699753944784244,0.2532781758347629,93.77
17,0.27499670640500046,0.2569236775364024,93.94
18,0.276340307704344,0.2553594429569065,94.27
19,0.27487608510222716,0.24781768254849249,94.19
20,0.2746128027809069,0.25683826298783213,94.11
21,0.27442688207026134,0.24328238276068131,94.35
22,0.275214790269197,0.2497897708596024,94.21
23,0.27532277562076,0.24900961900909893,94.12
24,0.27345589444215995,0.24734763387017503,94.15
25,0.2729500750015135,0.2481623229421932,94.38
26,0.27423409497074436,0.2463761905667155,94.24
27,0.2731267755294361,0.24400414719217278,94.22
28,0.27393096088752183,0.2701142924890531,92.92
29,0.2728854311837832,0.24627630685520124,94.27
30,0.27249296928134187,0.2623639553464664,93.81
31,0.2736124382234058,0.2488736970438107,94.3
32,0.27220093681869006,0.24560675420766442,94.3
33,0.27351540477911446,0.25156752653968856,94.07
34,0.272120764564523,0.24897411650237355,94.56
35,0.2724374035000059,0.24977652092641478,94.07
36,0.2726049791765589,0.24811148931243107,94.26
37,0.2718886640759741,0.24674102967949502,94.5
38,0.2721242322530258,0.24176703249134443,94.52
39,0.27211939931459805,0.2462834970992694,94.43
40,0.2722230245845762,0.24796990486781842,94.29
41,0.27240599099002744,0.24604918567435802,94.4
42,0.27173994436088117,0.2417767244853173,94.59
43,0.2718514380988305,0.25284153044397784,93.93
44,0.27178668064001815,0.24862577321067364,94.14
45,0.27066365552032956,0.24907992664284426,94.13
46,0.2719439713739044,0.25024133340558535,94.32
47,0.2712444189181393,0.24117083207629922,94.58
48,0.27049670600411524,0.26605515324830337,93.75
49,0.2715923012495966,0.24570017069427957,94.15
50,0.2715079813129767,0.2504620130959996,94.64
51,0.27118200704311957,0.24976243306786192,93.94
52,0.2705705942485214,0.2600538939846602,93.44
53,0.2712908936706945,0.2483132468570822,94.21
54,0.271378875920636,0.24622554536058247,94.44
55,0.2711072613558517,0.24396506807161594,94.18
56,0.27094947828537636,0.24562719120420884,94.44
57,0.27112347057987773,0.24658728846043365,94.64
58,0.27109773516495833,0.24999418733535095,93.85
59,0.2713917778181439,0.2573410538988671,93.75
60,0.27046801102996776,0.24726735221047752,94.45
61,0.27101709427853865,0.2684463950828811,93.0
62,0.27123001521642537,0.2516289320992212,94.23
63,0.27079919206314684,0.25202097480768515,93.99
64,0.271012219295705,0.24663125594894514,94.26
65,0.271053275463662,0.25126726031031504,94.08
66,0.27096613321391005,0.24605550311997296,94.43
67,0.2707909019903279,0.2478301266520488,93.99
68,0.2713944359067537,0.2574940169353016,93.87
69,0.2707956952876075,0.254942873015477,94.11
70,0.2711231813588953,0.24411745484161493,94.39
71,0.27120598132771984,0.24561440737232065,94.28
72,0.27050883824646915,0.2484564670549104,94.1
73,0.2710765875063679,0.2518607197309109,93.98
74,0.27147712659633405,0.2552990691839254,93.96
75,0.27104399983081845,0.24686999577021884,94.15
76,0.27107371095119676,0.2529321412816057,94.12
77,0.27036669869998425,0.24863585651624553,94.36
78,0.27100402658687955,0.24697201321207576,94.08
79,0.26953501791966866,0.2461670645178046,94.02
80,0.270751005506242,0.24314855239302224,94.38
81,0.2715068021670734,0.24639164099879368,94.19
82,0.27126941593716225,0.25112973908771397,94.13
83,0.27014860221273773,0.25392253000465054,93.89
84,0.27065737909865967,0.24881958016729191,94.35
85,0.27154411865692224,0.2443082200317116,94.28
86,0.27012979399205866,0.24545407161471608,94.35
87,0.270756410778317,0.259698306267336,93.53
88,0.271783181194261,0.24587821660350695,94.41
89,0.2708260105603609,0.24605377444925525,94.2
90,0.27175682697678016,0.2521779560410424,93.89
91,0.2707207569672714,0.2435519689100795,94.16
92,0.270613105757979,0.24763247363312457,94.19
93,0.2700872157188343,0.24487502928883123,94.19
94,0.2714493688312092,0.2511856392851002,94.2
95,0.27113053581144947,0.2610393808064216,93.55
96,0.2708681877373252,0.24416706678035743,94.49
97,0.2706538312548542,0.24702281895029568,94.68
98,0.2702340912130013,0.24331210925226943,94.39
99,0.270350613819544,0.2427459799761786,94.45
